"id","model_id","model_type","collection_name","name","file_name","mime_type","disk","size","manipulations","custom_properties","order_column","created_at","updated_at"
"110","2558","App\\UserSubtaskSubmission","submissions","script1.sh","script1.sh.txt","text/x-shellscript","ceph-submission","1130","[]","[]","108","2018-10-27 03:03:13","2018-10-27 03:03:13"
"111","2559","App\\UserSubtaskSubmission","submissions","script2.sh","script2.sh.txt","text/x-shellscript","ceph-submission","1139","[]","[]","109","2018-10-27 03:03:21","2018-10-27 03:03:21"
"112","2561","App\\UserSubtaskSubmission","submissions","nmapScan","nmapScan.sh","text/x-shellscript","ceph-submission","787","[]","[]","110","2018-10-27 03:03:30","2018-10-27 03:03:30"
"113","2562","App\\UserSubtaskSubmission","submissions","ReadMe","ReadMe.txt","text/plain","ceph-submission","354","[]","[]","111","2018-10-27 03:03:38","2018-10-27 03:03:38"
"114","2564","App\\UserSubtaskSubmission","submissions","readme.txt","readme.txt.txt","text/plain","ceph-submission","516","[]","[]","112","2018-10-27 03:09:49","2018-10-27 03:09:49"
"115","2565","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","640","[]","[]","113","2018-10-27 03:11:07","2018-10-27 03:11:07"
"116","2582","App\\UserSubtaskSubmission","submissions","CSE468scritp","CSE468scritp.sh","text/plain","ceph-submission","907","[]","[]","114","2018-10-27 03:28:03","2018-10-27 03:28:03"
"117","2583","App\\UserSubtaskSubmission","submissions","README","README.txt","text/plain","ceph-submission","113","[]","[]","115","2018-10-27 03:28:23","2018-10-27 03:28:23"
"118","2586","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","1123","[]","[]","116","2018-10-27 03:29:23","2018-10-27 03:29:23"
"119","2587","App\\UserSubtaskSubmission","submissions","firewallTest","firewallTest.py","text/x-python","ceph-submission","1422","[]","[]","117","2018-10-27 03:29:34","2018-10-27 03:29:34"
"120","2588","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","551","[]","[]","118","2018-10-27 03:29:56","2018-10-27 03:29:56"
"121","2589","App\\UserSubtaskSubmission","submissions","script_client","script_client.sh","text/plain","ceph-submission","1452","[]","[]","119","2018-10-27 03:30:00","2018-10-27 03:30:00"
"122","2591","App\\UserSubtaskSubmission","submissions","nmap","nmap.py","text/x-python","ceph-submission","4988","[]","[]","120","2018-10-27 03:30:14","2018-10-27 03:30:14"
"123","2594","App\\UserSubtaskSubmission","submissions","script_server.sh","script_server.sh.txt","text/plain","ceph-submission","1428","[]","[]","121","2018-10-27 03:31:53","2018-10-27 03:31:53"
"124","2597","App\\UserSubtaskSubmission","submissions","firewallTest","firewallTest.py","text/x-python","ceph-submission","1425","[]","[]","122","2018-10-27 03:34:33","2018-10-27 03:34:33"
"125","2598","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","700","[]","[]","123","2018-10-27 03:37:27","2018-10-27 03:37:27"
"126","2599","App\\UserSubtaskSubmission","submissions","script_server","script_server.sh","text/plain","ceph-submission","1578","[]","[]","124","2018-10-27 03:38:30","2018-10-27 03:38:30"
"127","2600","App\\UserSubtaskSubmission","submissions","README","README.txt","text/plain","ceph-submission","864","[]","[]","125","2018-10-27 03:39:56","2018-10-27 03:39:56"
"128","2605","App\\UserSubtaskSubmission","submissions","scan","scan.sh","text/x-shellscript","ceph-submission","406","[]","[]","126","2018-10-27 03:51:59","2018-10-27 03:51:59"
"129","2606","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","158","[]","[]","127","2018-10-27 03:54:28","2018-10-27 03:54:28"
"130","2611","App\\UserSubtaskSubmission","submissions","test.firewall","test.firewall.txt","text/x-shellscript","ceph-submission","334","[]","[]","128","2018-10-27 04:13:46","2018-10-27 04:13:46"
"131","2612","App\\UserSubtaskSubmission","submissions","BBFE0B2E-9EC7-430E-BF00-134A37691547","BBFE0B2E-9EC7-430E-BF00-134A37691547.png","image/png","ceph-submission","213073","[]","[]","129","2018-10-27 04:16:55","2018-10-27 04:16:55"
"132","2613","App\\UserSubtaskSubmission","submissions","8AE62DB0-58FA-4E1D-BE1F-53834185FC17","8AE62DB0-58FA-4E1D-BE1F-53834185FC17.png","image/png","ceph-submission","132171","[]","[]","130","2018-10-27 04:17:19","2018-10-27 04:17:19"
"133","2614","App\\UserSubtaskSubmission","submissions","readMe","readMe.txt","text/plain","ceph-submission","410","[]","[]","131","2018-10-27 04:24:50","2018-10-27 04:24:50"
"134","2630","App\\UserSubtaskSubmission","submissions","test","test.sh","text/x-shellscript","ceph-submission","1319","[]","[]","132","2018-10-27 04:50:36","2018-10-27 04:50:36"
"135","2631","App\\UserSubtaskSubmission","submissions","e3","e3.sh","text/x-shellscript","ceph-submission","518","[]","[]","133","2018-10-27 04:51:47","2018-10-27 04:51:47"
"136","2634","App\\UserSubtaskSubmission","submissions","README","README.txt","text/plain","ceph-submission","189","[]","[]","134","2018-10-27 04:53:57","2018-10-27 04:53:57"
